Category,Global Warming,Acidification,Respiratory Effects,Eutrophication,Ozone Depletion,Smog,Primary Energy,Non-Renewable Energy,Renewable Energy,Fossil Fuel Energy
,(kg CO2 eq),(kg SO2 eq),(kg PM2.5 eq),(kg N eq),(kg CFC-11 eq),(kg O3 eq),(MJ),(MJ),(MJ),(MJ)
Total Building Component Flows,67110.6877489501,380.4034759638,89.9050188465,251.1446827318,0.0021633063,4981.6564479926,1042490.2308387468,924779.8455280652,19990.1837640868,707331.2133073399
Total Energy Flows,2015288.3176830192,5149.4084414817,350.1502214994,212.3294037144,0.0226370558,90654.5912069852,12111.372,12111.372,0.0,12111.372
Whole Building Total,2082399.0054319694,5529.8119174455,440.0552403459,463.4740864462,0.0248003621,95636.24765497781,1054601.6028387467,936891.2175280652,19990.1837640868,719442.5853073399

Category,Year,Global Warming,Acidification,Respiratory Effects,Eutrophication,Ozone Depletion,Smog,Primary Energy,Non-Renewable Energy,Renewable Energy,Fossil Fuel Energy
,,(kg CO2 eq),(kg SO2 eq),(kg PM2.5 eq),(kg N eq),(kg CFC-11 eq),(kg O3 eq),(MJ),(MJ),(MJ),(MJ)
Total Building Component Flows,0,19467.439806277205,118.94535069532066,53.090171803514565,27.65750232884657,0.0003813687484238307,2108.9667818579996,381977.55685753253,281587.709037291,2697.479575039194,257722.35814040608
Total Energy Flows,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Building Component Flows,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Energy Flows,1,26870.510902440263,68.65877921975596,4.66866961999134,2.8310587161914014,0.0003018274102446073,1208.7278827598016,161.48496,161.48496,0.0,161.48496
Total Building Component Flows,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Energy Flows,2,26870.510902440263,68.65877921975596,4.66866961999134,2.8310587161914014,0.0003018274102446073,1208.7278827598016,161.48496,161.48496,0.0,161.48496
Total Building Component Flows,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Energy Flows,3,26870.510902440263,68.65877921975596,4.66866961999134,2.8310587161914014,0.0003018274102446073,1208.7278827598016,161.48496,161.48496,0.0,161.48496
Total Building Component Flows,4,637.4324927570688,4.337539169753723,0.37405608168683446,7.71457140255841,4.398224903722021e-05,39.88834993541168,8280.202325179827,7943.798388655029,336.40393652478025,647.1113451222066
